CoinName,Coin,Time,Price,1h,24h,7d,24h Volume,Mkt Cap,Website
Evmos,EVMOS,2022/06/02/00:53,$3.20,-0.2%,0.8%,60.5%,"$4,961,653","$649,502,512",https://www.coingecko.com/
Dash,DASH,2022/06/02/00:53,$59.81,0.6%,-8.1%,-4.2%,"$133,336,175","$645,028,187",https://www.coingecko.com/
Chiliz,CHZ,2022/06/02/00:53,$0.118979,1.3%,-3.2%,-0.1%,"$148,064,829","$634,947,091",https://www.coingecko.com/
Synthetix-Network-Token,SNX,2022/06/02/00:53,$2.88,0.5%,-8.7%,10.3%,"$71,692,417","$628,409,689",https://www.coingecko.com/
Pax-Gold,PAXG,2022/06/02/00:53,"$1,853.41",-0.0%,0.8%,-1.0%,"$13,718,553","$618,248,188",https://www.coingecko.com/
Stepn,GMT,2022/06/02/00:53,$1.03,0.8%,-13.3%,-26.4%,"$664,118,124","$617,361,273",https://www.coingecko.com/
Enjin-Coin,ENJ,2022/06/02/00:53,$0.640522,1.0%,-9.1%,-6.4%,"$91,728,849","$597,293,219",https://www.coingecko.com/
Celo,CELO,2022/06/02/00:53,$1.34,0.8%,-10.7%,-0.5%,"$61,069,278","$594,206,142",https://www.coingecko.com/
Convex-Finance,CVX,2022/06/02/00:53,$9.31,0.9%,-9.3%,-11.0%,"$11,646,218","$583,538,225",https://www.coingecko.com/
Basic-Attention-Token,BAT,2022/06/02/00:53,$0.386215,0.9%,-4.7%,-2.3%,"$99,117,683","$578,624,757",https://www.coingecko.com/
Amp,AMP,2022/06/02/00:53,$0.012046220195,0.5%,-4.0%,-9.3%,"$4,385,978","$578,466,193",https://www.coingecko.com/
Stacks,STX,2022/06/02/00:53,$0.535963,0.2%,-5.9%,-10.9%,"$18,214,951","$564,304,226",https://www.coingecko.com/
Compound-Usdt,CUSDT,2022/06/02/00:53,$0.021768404499,0.0%,0.0%,0.0%,"$6,457.54","$560,525,825",https://www.coingecko.com/
Gala,GALA,2022/06/02/00:53,$0.074063958866,0.8%,-11.3%,-11.3%,"$220,978,132","$558,109,681",https://www.coingecko.com/
Fei-Usd,FEI,2022/06/02/00:53,$0.999854,-0.4%,0.0%,-0.1%,"$6,551,181","$538,476,370",https://www.coingecko.com/
Kava,KAVA,2022/06/02/00:53,$2.63,0.2%,-10.5%,-7.0%,"$87,799,597","$530,772,668",https://www.coingecko.com/
